"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","7","381914514","54559216","99.6063154576437"
"hipMemcpy","6","919760","153293","0.239880657442944"
"hipLaunchKernel","5","532330","106466","0.138835859764071"
"hipFree","7","35361","5051","0.00922242751135072"
"__hipPopCallConfiguration","5","8610","1722","0.00224555586303356"
"__hipPushCallConfiguration","5","8110","1622","0.00211515192209084"
"hipDeviceSynchronize","1","5310","5310","0.00138488985281164"
"Total","36","383423995","10650666","100.0"
