"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","7","382220925","54602989","99.5816286861885"
"hipMemcpy","6","996541","166090","0.25963302724089"
"hipLaunchKernel","5","559010","111802","0.145641231577958"
"hipFree","7","32130","4590","0.00837096433087026"
"__hipPushCallConfiguration","5","7390","1478","0.00192534784952167"
"__hipPopCallConfiguration","5","7230","1446","0.00188366237510713"
"hipDeviceSynchronize","1","3520","3520","0.000917080437119929"
"Total","36","383826746","10661854","100.0"
